"Section","ID","Statutory basis","Conditional","Requirement","Current-state diagnostic question","Status","Findings / gap","Evidence reviewed","Remediation (owner & target date)"
"2B. Consent Manager","CM-5","Rules 1st Sch. Part B(7),(11),(12),(13)","Conditional - only if registering/acting as a Consent Manager (rule 4 commences ~13 Nov 2026)","Take reasonable security safeguards; publish ownership/management transparency info; maintain audit mechanisms reporting to the Board; no change of control without Board approval.","Are safeguards, transparency disclosures, audits and control-change approvals operating?","Not Assessed","","",""
"3. Certain legitimate uses","LU-1","Act §7(a)","","For data the principal voluntarily provided for a specified purpose and has not objected to: process only for that purpose, and cease when she indicates she no longer wants it.","Where you rely on voluntary provision, is the purpose documented and an objection/stop path honoured?","Not Assessed","","",""
"3. Certain legitimate uses","LU-2","Act §7(b); rule 5 + 2nd Sch.","","State subsidy/benefit/service/certificate/licence/permit processing follows the Second Schedule standards (lawful, purpose-limited, accurate, secured, intimation + contact + rights link given).","If relying on §7(b), are the Second-Schedule standards met?","Not Assessed","","",""
"3. Certain legitimate uses","LU-3","Act §7(c)-(e)","","Processing for State legal functions / sovereignty & security, legal disclosure obligations, or court judgments/orders is confined to those grounds.","Are any of these grounds relied on, and documented per activity?","Not Assessed","","",""
"3. Certain legitimate uses","LU-4","Act §7(f)-(h)","","Processing for medical emergency, epidemic/public-health measures, or disaster/breakdown of public order is confined to those grounds.","Are emergency/public-health/disaster grounds relied on, and scoped?","Not Assessed","","",""
"3. Certain legitimate uses","LU-5","Act §7(i)","","Employment-purpose processing (or to safeguard the employer from loss/liability - e.g. trade-secret/IP confidentiality, services/benefits to an employee) is confined to that ground.","For employee data, is the §7(i) basis recorded and limited to employment purposes?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-1","Act §8(1)","","The Data Fiduciary is responsible for compliance for all processing by it or by a Data Processor on its behalf, irrespective of any contrary agreement or the principal's failure of duties.","Is accountability for processor processing owned and evidenced (not contracted away)?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-2","Act §8(2); rule 6(1)(f)","","A Data Processor is engaged only under a valid contract, which requires reasonable security safeguards.","Is there a valid, safeguards-bearing contract with every processor?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-3","Act §8(3)","","Where data is used to make a decision affecting the principal or disclosed to another Data Fiduciary, ensure its completeness, accuracy and consistency.","Are accuracy controls applied before decisions/disclosures?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-4","Act §8(4)","","Implement appropriate technical and organisational measures to ensure effective observance of the Act/Rules.","Are TOMs designed, documented and operating across the data lifecycle?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-5","Act §8(5); rule 6(1)(a)-(g)","","Take reasonable security safeguards to prevent breach, at minimum: (a) encryption/obfuscation/masking/tokenisation; (b) access control to computer resources; (c) logging, monitoring and review for unauthorised-access detection; (d) backups for continued processing; (e) retain logs and personal data for 1 year; (f) safeguards clauses in processor contracts; (g) supporting technical & organisational measures.","Are all seven Rule-6 minimum safeguards in place and evidenced (incl. >= 1-year log retention)?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-6","Act §8(6); rule 7(1)","","On becoming aware of a breach, intimate each affected Data Principal without delay via her user account/registered channel, stating: nature/extent/timing, likely consequences to her, mitigation measures, safety steps she can take, and a contact.","Is there a tested process to notify affected principals without delay with all five content elements?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-7","Act §8(6); rule 7(2)","","Intimate the Board without delay (nature, extent, timing, location, likely impact) and within 72 hours (or a longer Board-allowed period) give: updated description, facts/circumstances/reasons, mitigation, findings on who caused it, recurrence-prevention measures, and a report on principal-intimations.","Is there a 72-hour Board-notification playbook with all six follow-up elements?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-8","Act §8(7)(a)","","Erase personal data on consent withdrawal, or when it is reasonable to assume the specified purpose is no longer served - whichever is earlier - unless retention is required by law.","Are deletion triggers (withdrawal / purpose-end) implemented with a legal-hold exception?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-9","Act §8(7)(b)","","Cause your Data Processor to erase any personal data you made available to it.","Do processor contracts/runbooks force downstream erasure on the same triggers?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-10","Act §8(8); rule 8(1)-(2) + 3rd Sch.","Applies to Third-Schedule classes; else N/A","Apply the no-longer-served time period for erasure. For the notified classes (e-commerce >= 2 cr users; online gaming >= 50 lakh users; social media >= 2 cr users) the period is 3 years from the principal's last engagement (or Rules' commencement, whichever later). Notify the principal >= 48 hours before erasure.","If in a Third-Schedule class, is the 3-year clock + 48-hour pre-erasure notice implemented? (Else record N/A.)","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-11","Rules rule 8(3) + 7th Sch.","","Retain personal data, traffic data and logs for >= 1 year for the Seventh-Schedule purposes, then erase, unless another law requires longer.","Is the >= 1-year retention-then-erase rule applied to data/traffic/logs?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-12","Act §8(9); rule 9","","Prominently publish on website/app, and state in every rights-response, the business contact of the DPO (if applicable) or a person who can answer the principal's processing questions.","Is the answerable-person contact published prominently and echoed in every rights response?","Not Assessed","","",""
"4. General obligations of a Data Fiduciary","DF-13","Act §8(10); rule 14(3)","","Establish an effective grievance-redressal mechanism; publish it; respond within the published period (not exceeding 90 days) and maintain TOMs ensuring effectiveness.","Is a published grievance mechanism live with a defined SLA <= 90 days and effectiveness controls?","Not Assessed","","",""
"5. Children and persons with disability","CD-1","Act §9(1); rule 10","","Before processing a child's (under-18) data, obtain verifiable parental consent: adopt TOMs and due diligence that the self-identified parent is an identifiable adult - via reliable details already held, voluntarily provided identity/age, a virtual token from an authorised entity, or a DigiLocker provider.","Is a verifiable-parental-consent + adult-verification flow implemented for child data?","Not Assessed","","",""
"5. Children and persons with disability","CD-2","Act §9(1); rule 11","","For a person with disability with a lawful guardian, obtain verifiable guardian consent, with due diligence that the guardian was appointed by a court / designated authority / local-level committee under the applicable guardianship law.","Is guardian-appointment verification implemented for this population?","Not Assessed","","",""
"5. Children and persons with disability","CD-3","Act §9(2)","","Do not undertake processing likely to cause a detrimental effect on a child's well-being.","Is there a safeguard/assessment preventing detrimental-effect processing of children?","Not Assessed","","",""
"5. Children and persons with disability","CD-4","Act §9(3)","","Do not undertake tracking, behavioural monitoring of children, or targeted advertising directed at children.","Are child tracking / behavioural monitoring / targeted ads disabled?","Not Assessed","","",""
"5. Children and persons with disability","CD-5","Act §9(4)-(5); rule 12 + 4th Sch.","","Reliance on an exemption from §9(1)/(3) is confined to a notified class (e.g. clinical/mental-health/healthcare, educational institutions, creches/child-care, school transport) or purpose (Part B), within the stated conditions.","If exempt processing is relied on, is the exact Fourth-Schedule class/purpose + condition documented?","Not Assessed","","",""
"6. Additional obligations of a Significant Data Fiduciary","SDF-1","Act §10(2)(a)","Conditional - only if notified as an SDF under §10(1); else N/A","Appoint a Data Protection Officer who represents the SDF, is based in India, is responsible to the Board of Directors/governing body, and is the point of contact for grievance redressal.","Is a qualifying India-based DPO appointed and answerable to the board?","Not Assessed","","",""
"6. Additional obligations of a Significant Data Fiduciary","SDF-2","Act §10(2)(b)","Conditional - only if notified as an SDF under §10(1); else N/A","Appoint an independent data auditor to evaluate compliance with the Act.","Is an independent data auditor engaged?","Not Assessed","","",""
"6. Additional obligations of a Significant Data Fiduciary","SDF-3","Act §10(2)(c); rule 13(1)-(2)","Conditional - only if notified as an SDF under §10(1); else N/A","Undertake a Data Protection Impact Assessment and audit once every 12 months, and furnish a report of significant observations to the Board.","Is the annual DPIA + audit performed and the Board report filed?","Not Assessed","","",""
"6. Additional obligations of a Significant Data Fiduciary","SDF-4","Rules rule 13(3)","Conditional - only if notified as an SDF under §10(1); else N/A","Exercise due diligence that algorithmic software used for hosting/display/upload/processing is not likely to pose a risk to principals' rights.","Is algorithmic-software risk due-diligence performed and documented?","Not Assessed","","",""
"6. Additional obligations of a Significant Data Fiduciary","SDF-5","Rules rule 13(4)","Conditional - only if notified as an SDF under §10(1); else N/A","Ensure personal data and traffic data specified by the Central Government are not transferred outside India (data localisation of the specified categories).","Is localisation enforced for any Government-specified data categories?","Not Assessed","","",""
"7. Enabling the rights of Data Principals","DP-1","Act §11; rule 14(1)-(2)","","On request, provide a summary of the personal data processed and the processing activities, the identities of all fiduciaries/processors with whom it was shared plus a description of that data, and any other prescribed information. Publish the request means/identifiers.","Can you fulfil an access request with all three elements, and are the request means published?","Not Assessed","","",""
"7. Enabling the rights of Data Principals","DP-2","Act §12(1)-(2)","","On request, correct, complete and update inaccurate/incomplete personal data.","Is there a working correction/completion/update workflow?","Not Assessed","","",""
"7. Enabling the rights of Data Principals","DP-3","Act §12(3)","","On an erasure request, erase the data unless retention is necessary for the specified purpose or by law.","Is an erasure workflow live with the lawful-retention exception?","Not Assessed","","",""
"7. Enabling the rights of Data Principals","DP-4","Act §13; rule 14(3)","","Provide readily available grievance redressal, respond within the published period (<= 90 days); the principal must exhaust this before approaching the Board.","Is the grievance channel readily available with a published <= 90-day response SLA? (Cross-refs DF-13.)","Not Assessed","","",""
"7. Enabling the rights of Data Principals","DP-5","Act §14; rule 14(4)","","Enable the principal to nominate one or more individuals to exercise her rights on death/incapacity.","Is a nomination facility provided per your terms of service?","Not Assessed","","",""
"8. Cross-border transfer","CB-1","Act §16(1)","","Do not transfer personal data to any country/territory the Central Government restricts by notification.","Do transfer controls honour the Government's restricted-territory list (and stay current with it)?","Not Assessed","","",""
"8. Cross-border transfer","CB-2","Act §16(2)","","Where another Indian law imposes a higher protection / greater transfer restriction (e.g. sectoral RBI/SEBI rules), the stricter rule prevails.","Are sector-specific stricter transfer rules layered on top of DPDP?","Not Assessed","","",""
"8. Cross-border transfer","CB-3","Rules rule 15","","Meet any requirements the Central Government specifies for making personal data available to a foreign State or its controlled entities/agencies.","Are any such Government-specified requirements identified and met?","Not Assessed","","",""
